low_review_rank,low_review_opportunity_rank,rank,nm_id,product_url,reviews_count,card_create_date,card_age_days,card_create_datetime,card_update_datetime,card_imt_id,card_imt_name,card_created_status,card_created_source,reviews_status,review_rating,wb_product_name,wb_brand,low_review_opportunity_score,sales_trend_label,db_recent14_orders,db_prev14_orders,db_orders_growth_14d_pct,db_recent7_orders,db_prev7_orders,db_orders_growth_7d_pct,db_orders_slope_last28_per_day,db_recent14_revenue,db_prev14_revenue,db_revenue_growth_14d_pct,db_orders_total,db_order_revenue_total,db_buyouts_total,db_buyout_revenue_total,db_orders_per_1000_impressions,db_order_conversion_from_clicks,db_cart_to_order_ratio,db_impressions_total,db_clicks_total,db_carts_total,novelty_relevance_score,db_period_start,db_period_end,reviews_fetched_at,reviews_source
1.0,7.0,42,985437161,https://www.wildberries.ru/catalog/985437161/detail.aspx,110.0,2026-04-23,67,2026-04-23T10:57:38.698774Z,2026-06-26T05:39:49.082311Z,791989624,Блендер ручной PHB 1599,ok,https://basket-41.wbbasket.ru/vol9854/part985437/985437161/info/ru/card.json,ok,4.9,Блендер ручной PHB 1599,POLARIS,70.30000000000001,declining,340.0,396.0,-14.141414141414144,112.0,228.0,-50.877192982456144,-0.3880678708264909,1293399.0,1479638.0,-12.586794878206698,1038.0,3889662.0,833.0,3115078.0,0.7359071650984329,1.9308035714285716,18.88646288209607,1410504.0,53760.0,5496.0,37.190999999999995,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
2.0,3.0,33,961659889,https://www.wildberries.ru/catalog/961659889/detail.aspx,133.0,2026-04-13,77,2026-04-13T10:02:30.918816Z,2026-06-22T11:51:10.873835Z,583423482,Блендер погружной мощный с чашей и стаканом 6в1,ok,https://basket-41.wbbasket.ru/vol9616/part961659/961659889/info/ru/card.json,ok,4.8,Блендер погружной мощный с чашей и стаканом 6в1,Bocsh,72.52255319148937,declining,376.0,438.0,-14.155251141552515,149.0,227.0,-34.36123348017621,-0.4324028461959495,1202072.0,1400287.0,-14.155312446662716,1568.0,5012947.0,1323.0,4229680.0,2.1390549415170375,2.6578073089701,22.275891461855377,733034.0,58996.0,7039.0,46.693,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
3.0,14.0,48,692985933,https://www.wildberries.ru/catalog/692985933/detail.aspx,136.0,2025-12-08,203,2025-12-08T12:22:13.098152Z,2026-06-22T13:59:47.074832Z,699426059,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, белый",ok,https://basket-33.wbbasket.ru/vol6929/part692985/692985933/info/ru/card.json,ok,4.9,"Блендер-суповарка с нагревом DeMixi 7 в 1, белый",DEMIAND,62.45510638297872,low_sales_base,44.0,54.0,-18.518518518518523,17.0,27.0,-37.03703703703704,-0.078270388615216,855400.0,1028400.0,-16.822248152469854,329.0,6298931.0,286.0,5430621.0,0.4663127980893932,0.8825107296137339,8.59681212437941,705535.0,37280.0,3827.0,23.919,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
4.0,15.0,49,683481319,https://www.wildberries.ru/catalog/683481319/detail.aspx,150.0,2025-12-04,207,2025-12-04T06:39:43.706894Z,2026-05-27T11:39:09.3464Z,699426059,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, черный",ok,https://basket-33.wbbasket.ru/vol6834/part683481/683481319/info/ru/card.json,ok,4.9,"Блендер-суповарка с нагревом DeMixi 7 в 1, черный",DEMIAND,62.18765957446809,declining,59.0,73.0,-19.17808219178082,23.0,36.0,-36.111111111111114,-0.0870279146141213,1147600.0,1393800.0,-17.66394030707419,375.0,7193155.0,310.0,5928174.0,0.4384682841274481,0.9190725944806628,9.200196270853777,855250.0,40802.0,4076.0,21.521,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
5.0,30.0,44,876439200,https://www.wildberries.ru/catalog/876439200/detail.aspx,202.0,2026-03-10,111,2026-03-10T08:04:38.077271Z,2026-05-28T14:50:12.612Z,981947849,Блендер погружной 3в1 со стальной насадкой 2000Вт,ok,https://basket-39.wbbasket.ru/vol8764/part876439/876439200/info/ru/card.json,ok,4.8,Блендер погружной 3в1 со стальной насадкой 2000Вт,STINGRAY,48.36021276595745,low_sales_base,38.0,650.0,-94.15384615384616,13.0,25.0,-48.0,-3.8598795840175137,85752.0,1017067.0,-91.56869704749047,1423.0,2144610.0,1210.0,1809130.0,4.029996998034562,5.799404980233932,28.928644033340113,353102.0,24537.0,4919.0,33.224,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
6.0,19.0,45,768319065,https://www.wildberries.ru/catalog/768319065/detail.aspx,225.0,2026-01-20,160,2026-01-20T08:03:03.51373Z,2026-06-26T05:39:55.141326Z,791989624,Блендер стационарный мощный со стеклянной чашей PTB 1037G,ok,https://basket-35.wbbasket.ru/vol7683/part768319/768319065/info/ru/card.json,ok,4.9,Блендер стационарный мощный со стеклянной чашей PTB 1037G,POLARIS,57.817765957446795,declining,121.0,176.0,-31.25,53.0,68.0,-22.058823529411764,-0.2504105090311983,922054.0,1391722.0,-33.74725699529073,1212.0,8928357.0,966.0,7100718.0,0.2673414612196064,1.1014176663031623,9.839259620068193,4533528.0,110040.0,12318.0,32.82000000000001,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
7.0,9.0,37,1032349251,https://www.wildberries.ru/catalog/1032349251/detail.aspx,231.0,2026-05-15,45,2026-05-15T15:03:25.654525Z,2026-06-25T16:22:25.669426Z,2046630038,Портативный блендер для смузи и коктейлей,ok,https://basket-41.wbbasket.ru/vol10323/part1032349/1032349251/info/ru/card.json,ok,4.9,Портативный блендер для смузи и коктейлей,,68.53031914893617,declining,441.0,534.0,-17.41573033707865,208.0,233.0,-10.729613733905571,-0.6833607006020799,1066623.0,1326132.0,-19.56886644768394,1420.0,3553263.0,1057.0,2661808.0,3.149676160056783,1.7153487473122175,8.196248196248195,450840.0,82782.0,17325.0,39.965,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
8.0,23.0,19,874385114,https://www.wildberries.ru/catalog/874385114/detail.aspx,298.0,2026-03-09,112,2026-03-09T10:21:52.686356Z,2026-06-01T09:55:20.322485Z,996456474,Блендер погружной мощный 4в1,ok,https://basket-39.wbbasket.ru/vol8743/part874385/874385114/info/ru/card.json,ok,4.8,Блендер погружной мощный 4в1,TOMMY ARIKO,54.29287234042553,declining,221.0,342.0,-35.380116959064324,94.0,127.0,-25.984251968503933,-0.6981390257252321,649302.0,1004810.0,-35.38061922154437,3470.0,10217890.0,2986.0,8793646.0,0.7129893300222135,2.5134909999637824,17.802175251385183,4866833.0,138055.0,19492.0,56.298,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
10.0,1.0,39,1088308702,https://www.wildberries.ru/catalog/1088308702/detail.aspx,403.0,2026-05-26,34,2026-05-26T10:21:26.792906Z,2026-06-25T13:25:23.270083Z,1094330875,Погружной блендер кухонный 4 в 1,ok,https://basket-42.wbbasket.ru/vol10883/part1088308/1088308702/info/ru/card.json,ok,4.9,Погружной блендер кухонный 4 в 1,,87.02670212765958,growing,759.0,169.0,349.11242603550295,400.0,359.0,11.42061281337048,2.646962233169129,2209020.0,441540.0,400.2989536621824,928.0,2650560.0,634.0,1782690.0,2.0609398596428887,2.994321115126484,22.431713802272174,450280.0,30992.0,4137.0,39.739999999999995,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
9.0,4.0,20,897114209,https://www.wildberries.ru/catalog/897114209/detail.aspx,403.0,2026-03-18,103,2026-03-18T21:28:57.430993Z,2026-06-25T13:25:23.27003Z,1094330875,Блендер погружной мощный 5 в 1 с чашей и капучинатором,ok,https://basket-39.wbbasket.ru/vol8971/part897114/897114209/info/ru/card.json,ok,4.9,Блендер погружной мощный 5 в 1 с чашей и капучинатором,,72.43670212765959,stable_positive,334.0,313.0,6.709265175718859,147.0,187.0,-21.3903743315508,0.0604816639299399,1162871.0,1058382.0,9.872522397395269,1998.0,6784558.0,1662.0,5632071.0,1.187820029213952,2.7990641767417097,20.572487644151565,1682073.0,71381.0,9712.0,56.249,2026-03-29,2026-06-26,2026-06-29T13:12:05+00:00,https://card.wb.ru/cards/v4/detail
