turnover_30d_rank,buyout_turnover_30d_rank,nm_id,product_url,wb_product_name,recommendation_type,ordered_turnover_30d,buyout_turnover_30d,ordered_chart_days_30d,buyout_chart_days_30d,start_date,end_date,observed_start_date,observed_end_date,reviews_count,feedbacks_count_raw,card_feedback_count,card_feedback_rating,card_feedback_source,card_imt_id,card_imt_name,card_create_date,card_age_days,card_create_ordinal,log_ordered_turnover_30d,log_buyout_turnover_30d,log_reviews_count,log_card_feedback_count
1.0,3.0,678869210,https://www.wildberries.ru/catalog/678869210/detail.aspx,"Блендер-суповарка с нагревом DeMixi 7 в 1, черный",обычная карточка,8325556,6020356,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,730.0,730.0,1194,4.9,https://feedbacks1.wb.ru/feedbacks/v2/693879387,693879387,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, черный",2025-12-02,209,739587,15.934840498499522,15.610657117852272,6.594413459749778,7.085901464365611
2.0,4.0,883929252,https://www.wildberries.ru/catalog/883929252/detail.aspx,,обычная карточка,8103585,5896336,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,,,9421,5.0,https://feedbacks1.wb.ru/feedbacks/v2/572414155,572414155,Блендер стационарный для коктейлей и смузи,2026-03-13,108,739688,15.907817237722213,15.589841868612732,,9.150802659259986
3.0,1.0,158525642,https://www.wildberries.ru/catalog/158525642/detail.aspx,Блендер погружной измельчитель 3 в 1,сильный зрелый лидер,8012138,6811409,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,23642.0,23642.0,26516,4.7,https://feedbacks1.wb.ru/feedbacks/v2/800572915,800572915,Блендер погружной измельчитель 3 в 1,2023-04-25,1161,738635,15.89646832459389,15.734109705152271,10.070822367021758,10.185541315729058
4.0,2.0,767075015,https://www.wildberries.ru/catalog/767075015/detail.aspx,Блендер портативный для смузи и коктейлей 2 в 1,перспективная молодая карточка,7663699,6486802,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,1871.0,1871.0,1889,4.9,https://feedbacks1.wb.ru/feedbacks/v2/790067487,790067487,Блендер портативный для смузи и коктейлей 2 в 1,2026-01-19,161,739635,15.85200545381658,15.685280363304896,7.534762657037537,7.5443321080536885
5.0,6.0,695425492,https://www.wildberries.ru/catalog/695425492/detail.aspx,,обычная карточка,6814421,5578891,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,,,9421,5.0,https://feedbacks1.wb.ru/feedbacks/v2/572414155,572414155,Стационарный блендер для смузи и коктейлей,2025-12-09,202,739594,15.734551806603259,15.53450074833235,,9.150802659259986
6.0,7.0,291892830,https://www.wildberries.ru/catalog/291892830/detail.aspx,"Блендер погружной мощный, кухонный комбайн для смузи",обычная карточка,6667995,5493321,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,2052.0,2052.0,14697,4.7,https://feedbacks1.wb.ru/feedbacks/v2/272258731,272258731,"Блендер погружной мощный, кухонный комбайн для смузи",2024-11-26,580,739216,15.712829922972618,15.519043730668566,7.627057417018934,9.595466709088816
7.0,8.0,933956465,https://www.wildberries.ru/catalog/933956465/detail.aspx,,обычная карточка,6416957,5447911,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,,,9421,5.0,https://feedbacks1.wb.ru/feedbacks/v2/572414155,572414155,Стационарный блендер для смузи и коктейлей,2026-04-02,88,739708,15.674454731596693,15.510742973964435,,9.150802659259986
8.0,9.0,585130046,https://www.wildberries.ru/catalog/585130046/detail.aspx,Стационарный блендер для смузи и коктейлей,средневозрастной кандидат,6316029,5438445,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,7211.0,7211.0,7218,5.0,https://feedbacks1.wb.ru/feedbacks/v2/2850284356,2850284356,Стационарный блендер для смузи и коктейлей,2025-10-28,244,739552,15.658601404188062,15.509003916258326,8.883501584323207,8.88447171813916
9.0,11.0,262683065,https://www.wildberries.ru/catalog/262683065/detail.aspx,Блендер для смузи стационарный 2 в 1 мощный,обычная карточка,6073323,4728843,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1812.0,1812.0,1878,4.5,https://feedbacks1.wb.ru/feedbacks/v2/240317889,240317889,Блендер для смузи стационарный 2 в 1 мощный,2024-09-19,648,739148,15.619416624354018,15.369191333135186,7.502738210754851,7.538494999413465
10.0,10.0,13433791,https://www.wildberries.ru/catalog/13433791/detail.aspx,Блендер погружной мощный измельчитель для смузи и коктейлей,сильный зрелый лидер,5945550,5066501,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,4530.0,4530.0,14697,4.7,https://feedbacks1.wb.ru/feedbacks/v2/272258731,272258731,Блендер погружной мощный измельчитель для смузи и коктейлей,2020-07-07,2183,737613,15.59815376673905,15.438161196620259,8.418697944667139,9.595466709088816
11.0,14.0,692973678,https://www.wildberries.ru/catalog/692973678/detail.aspx,"Блендер-суповарка с нагревом DeMixi 7 в 1, белый",обычная карточка,5857810,3666800,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,454.0,454.0,1194,4.9,https://feedbacks1.wb.ru/feedbacks/v2/693879387,693879387,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, белый",2025-12-08,203,739593,15.58328654227815,15.114830177787075,6.12029741895095,7.085901464365611
12.0,13.0,708374336,https://www.wildberries.ru/catalog/708374336/detail.aspx,"Блендер погружной ручной с насадками, 2000Вт",обычная карточка,5366388,4301436,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,636.0,636.0,650,4.8,https://feedbacks1.wb.ru/feedbacks/v2/724173790,724173790,"Блендер погружной ручной с насадками, 2000Вт",2025-12-16,195,739601,15.495665800817632,15.274459710882583,6.456769655572163,6.478509642208569
13.0,12.0,827570318,https://www.wildberries.ru/catalog/827570318/detail.aspx,Блендер портативный для смузи и коктейлей 2 в 1,перспективная молодая карточка,4951168,4555724,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,1871.0,1871.0,1889,4.9,https://feedbacks1.wb.ru/feedbacks/v2/790067487,790067487,Блендер портативный для смузи и коктейлей 2 в 1,2026-02-14,135,739661,15.41513426827927,15.331895241762592,7.534762657037537,7.5443321080536885
14.0,5.0,918057411,https://www.wildberries.ru/catalog/918057411/detail.aspx,Блендер погружной мощный кухонный,перспективная молодая карточка,4569015,5886037,29,29,2026-05-28,2026-06-26,2026-05-28,2026-06-25,5363.0,5363.0,5403,5.0,https://feedbacks1.wb.ru/feedbacks/v2/1207894053,1207894053,Блендер погружной мощный кухонный,2026-03-27,94,739702,15.334808422399641,15.588093663751996,8.587465244401569,8.59489469908009
15.0,16.0,306190443,https://www.wildberries.ru/catalog/306190443/detail.aspx,Блендер погружной кухонный комбайн с кубикорезом 12 в 1,обычная карточка,4204552,3096271,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2122.0,2122.0,2121,4.8,https://feedbacks1.wb.ru/feedbacks/v2/391886783,391886783,Блендер погружной кухонный комбайн с кубикорезом 12 в 1,2024-12-23,553,739243,15.251678543717322,14.945709365129861,7.660585461703256,7.660114319173928
16.0,15.0,618438907,https://www.wildberries.ru/catalog/618438907/detail.aspx,Блендер погружной мощный 8в1 для измельчения и смешивания,обычная карточка,3970208,3335155,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,565.0,565.0,514,5.0,https://feedbacks1.wb.ru/feedbacks/v2/634186171,634186171,Блендер погружной мощный 8в1 для измельчения и смешивания,2025-11-14,227,739569,15.194329296113954,15.020030012849563,6.338594078203183,6.244166900663736
17.0,17.0,554546424,https://www.wildberries.ru/catalog/554546424/detail.aspx,Блендер погружной мощный с чашей и стаканом 4в1,средневозрастной кандидат,3560700,3066049,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,993.0,993.0,1148,4.8,https://feedbacks1.wb.ru/feedbacks/v2/583423482,583423482,Блендер погружной мощный с чашей и стаканом 4в1,2025-10-05,267,739529,15.085467993556321,14.935900646173945,6.901737206656574,7.046647277848756
18.0,24.0,232842874,https://www.wildberries.ru/catalog/232842874/detail.aspx,Блендер стационарный настольный для смузи CT-1304,обычная карточка,3354985,2395805,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2667.0,2667.0,3111,4.3,https://feedbacks1.wb.ru/feedbacks/v2/422295831,422295831,Блендер стационарный настольный для смузи CT-1304,2024-05-22,768,739028,15.02595815550291,14.689230266658901,7.889084407035514,8.043020885298283
19.0,20.0,844743357,https://www.wildberries.ru/catalog/844743357/detail.aspx,Блендер портативный для смузи и коктейлей,перспективная молодая карточка,3325364,2659146,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,855.0,855.0,829,4.9,https://feedbacks1.wb.ru/feedbacks/v2/426518333,426518333,Блендер портативный для смузи и коктейлей,2026-02-23,126,739670,15.017090000483408,14.793515952638387,6.752270376141742,6.721425700790643
20.0,25.0,100204048,https://www.wildberries.ru/catalog/100204048/detail.aspx,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",обычная карточка,3179761,2356778,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2456.0,2456.0,3469,4.7,https://feedbacks1.wb.ru/feedbacks/v2/1249230094,1249230094,"Погружной блендер рубит в кубик, кухонный комбайн 1800Вт",2022-09-15,1383,738413,14.972316909188205,14.67280641426384,7.806696372521179,8.151909872940905
21.0,21.0,985437161,https://www.wildberries.ru/catalog/985437161/detail.aspx,Блендер ручной PHB 1599,обычная карточка,3014722,2569054,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,110.0,110.0,10722,4.8,https://feedbacks1.wb.ru/feedbacks/v2/791989624,791989624,Блендер ручной PHB 1599,2026-04-23,67,739729,14.919018509959235,14.759048684971452,4.709530201312334,9.280146246220145
22.0,18.0,495982950,https://www.wildberries.ru/catalog/495982950/detail.aspx,Блендер погружной для измельчения и смешивания,обычная карточка,2993691,3058850,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,658.0,658.0,670,4.8,https://feedbacks1.wb.ru/feedbacks/v2/503303368,503303368,Блендер погружной для измельчения и смешивания,2025-08-14,319,739477,14.912017966258492,14.933549913218389,6.490723534502507,6.508769136971682
23.0,23.0,271010502,https://www.wildberries.ru/catalog/271010502/detail.aspx,Блендер погружной мощный кухонный комбайн,обычная карточка,2866511,2415784,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,4635.0,4635.0,4593,4.8,https://feedbacks1.wb.ru/feedbacks/v2/507954219,507954219,Блендер погружной мощный кухонный комбайн,2024-10-16,621,739175,14.868606517611713,14.697534844010766,8.441607204459642,8.432506383249043
24.0,28.0,706082247,https://www.wildberries.ru/catalog/706082247/detail.aspx,Блендер ручной погружной Bt HB721SS Черно-серый,средневозрастной кандидат,2791672,2274883,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,2579.0,2579.0,2631,4.7,https://feedbacks1.wb.ru/feedbacks/v2/1670099544,1670099544,Блендер ручной погружной Bt HB721SS Черно-серый,2025-12-15,196,739600,14.842151615661438,14.637439620056215,7.855544677915663,7.875499292445208
25.0,19.0,683481319,https://www.wildberries.ru/catalog/683481319/detail.aspx,"Блендер-суповарка с нагревом DeMixi 7 в 1, черный",обычная карточка,2769400,2688408,30,30,2026-05-28,2026-06-26,2026-05-28,2026-06-26,150.0,150.0,288,4.9,https://feedbacks1.wb.ru/feedbacks/v2/699426059,699426059,"Блендер-суповарка с нагревом DEMIAND DeMixi 7 в 1, черный",2025-12-04,207,739589,14.83414160929173,14.804460126788458,5.017279836814924,5.666426688112432
